question,answer,answer_html,link,name,source,category,country,region,city,lang,last_update
where can i get tested,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
what is corona virus and its treatment,"Most people with mild coronavirus illness will recover on their own. If you are concerend about your symptoms, you should self-monitor and consult your health care provider. They may recommend steps you can take to relieve symptoms. At this time, there is no vaccine for COVID-19 that is authorized to treat or protect against COVID-19. If you have received a flu vaccine, it will not protect against coronaviruses",,,,,,,,,,
How are travelers from countries with a level 3 travel health notice being screened when they enter the United States?,"At this time, American citizens, lawful permanent residents, and family members (as specified in the Presidential Proclamationexternal icon) who have been in countries with a Level 3 travel health notice within 14 days prior to their arrival will be allowed to enter the United States. Travelers from some countries with a level 3 travel health notice are being re-directed to certain airports and are screened for COVID-19 symptoms such as fever, cough or trouble breathing and asked questions about their travel and possible exposure to COVID-19. Travelers without symptoms will be told to stay home and practice social distancing.. . More information for travelers from countries with a level 3 travel health notice is available here.","<p>At this time, American citizens, lawful permanent residents, and family members (as specified in the&nbsp;<a href=""https://www.whitehouse.gov/presidential-actions/proclamation-suspension-entry-immigrants-nonimmigrants-certain-additional-persons-pose-risk-transmitting-2019-novel-coronavirus/"" target=""_blank"" rel=""noopener noreferrer"" class=""tp-link-policy"" data-domain-ext=""gov"">Presidential Proclamation<span class=""sr-only"">external icon</span><span class=""fi cdc-icon-external x16 fill-external"" aria-hidden=""true""></span></a>) who have been in countries with a Level 3 travel health notice within 14 days prior to their arrival will be allowed to enter the United States.&nbsp;Travelers from some countries with a level 3 travel health notice are being re-directed to certain airports and are screened for COVID-19 symptoms such as fever, cough or trouble breathing and asked questions about their travel and possible exposure to COVID-19.&nbsp;Travelers without symptoms will be told to stay home and practice social distancing.</p>. <p>More information for travelers from countries with a level 3 travel health notice is available&nbsp;<a href=""https://www.cdc.gov/coronavirus/2019-ncov/travelers/after-travel-precautions.html"" target=""_blank"" rel=""noopener noreferrer"">here</a>.</p>",https://www.cdc.gov/coronavirus/2019-ncov/travelers/faqs.html,Travel: Frequently Asked Questions and Answers,Center for Disease Control and Prevention (CDC),Returning from Travel,USA,,,en,3/17/20
Where should I go if I am sick,"If you have developed symptoms like fever, cough, and/or difficulty breathing, and you have been in close contact with a person known to have COVID-19, or they have recently traveled to an area with ongoing spread of COVID-19, yes. Stay home and call your health care provider. Older patients and individuals who have severe underlying medical conditions should contact their healthcare providers earlier, even if the illness seems mild. If your symptoms are severe - like you are having persistent pain/pressure in chest, new confusion or inability to arouse, or bluish lips or face, contact healthcare provider or go to the emergency room - it is important to seek care immediately. Your doctor will determine if you have symptoms of COVID-19 and whether you should be tested?",,,,,,,,,,
coronavirus dies in the heat,"We do not know. Some viruses, like the common cold or flu, spread more during the cold weather months but people still become sick in warmer months with them. There is still a lot to learn about how weather and temperature impact spread of COVID-19.",,,,,,,,,,
will coronavirus die in the summer,"We do not know. Some viruses, like the common cold or flu, spread more during the cold weather months but people still become sick in warmer months with them. There is still a lot to learn about how weather and temperature impact spread of COVID-19.",,,,,,,,,,
What are the symptoms? Is vomiting one of them ?,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
. What actions should school and childcare program administrators take to plan for an outbreak?,"Administrators of childcare programs and K-12 schools should take the following actions to plan and prepare for COVID-19:. . Review, update, and implement school emergency operation plans, particularly for infectious disease outbreaks.. Emphasize actions for students and staff to take such as staying home when sick; appropriately covering coughs and sneezes; and washing hands often.. Cleaning frequently touched surfaces.. Monitor and plan for absenteeism.. Review the usual absenteeism patterns at your school among both students and staff.. Review attendance and sick leave policies. Encourage students and staff to stay home when sick. Use flexibility, when possible, to allow staff to stay home to care for sick family members.. Alert local health officials about increases in absences, particularly those that appear due to respiratory illnesses.. Monitor and plan for addressing fear and bullying related to COVID-19.. Communicate early and repeatedly with parents directly what the policies and procedures will be to allow parents to assure proper guardianship and care of children.","<p>Administrators of childcare programs and K-12 schools should take the following actions to plan and prepare for COVID-19:</p>. <ul>. <li>Review, update, and implement school emergency operation plans, particularly for infectious disease outbreaks.</li>. <li>Emphasize actions for students and staff to take such as staying home when sick; appropriately covering coughs and sneezes; and washing hands often.</li>. <li>Cleaning frequently touched surfaces.</li>. <li>Monitor and plan for absenteeism.. <ul>. <li>Review the usual absenteeism patterns at your school among both students and staff.</li>. <li>Review attendance and sick leave policies. Encourage students and staff to stay home when sick. Use flexibility, when possible, to allow staff to stay home to care for sick family members.</li>. <li>Alert local health officials about increases in absences, particularly those that appear due to respiratory illnesses.</li>. </ul>. </li>. <li>Monitor and plan for addressing fear and bullying related to COVID-19.</li>. <li>Communicate early and repeatedly with parents directly what the policies and procedures will be to allow parents to assure proper guardianship and care of children.</li>. </ul>",https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/schools-faq.html,K-12 Schools and Childcare Programs,Center for Disease Control and Prevention (CDC),Planning and Preparedness,USA,,,en,3/17/20
can pets get coronavirus,"There is currently no evidence to suggest that this virus is circulating in animals in Canada.  It is possible that some types of animals can be infected with COVID-19 but there is no evidence that pets or other animals can spread the virus. There are still many unknowns about COVID-19 and this is an area that remains to be studied and understood.  Until we know more, if you have been diagnosed with COVID-19 and have a pet or other animal: avoid close contact with them, do not snuggle or kiss them, or let them lick you, sit on your lap, or sleep in your bed, practice good cough etiquette, avoid coughing and sneezing on your animals, have another member of your household care for your animals (if this is not possible, always wash your hands before touching or feeding them), and limit your animal's contact with other people and animals (this may mean keeping them indoors)  To date, there have not been any reports of livestock being infected by COVID-19 anywhere. However, livestock producers should follow normal biosecurity measures as always. This includes limiting visitors or workers who may have travelled to, or been in contact with, someone from an affected area.",,,,,,,,,,
how coronavirus transfer,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
did coronavirus start in a lab,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
how the corona virus come from,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
symptoms of coronavirus cdc,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
Where are all the testing clinics in Quebec,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
What are the sympthoms of covid 19,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",,,,,,,,,,
"What is the risk to pregnant women of getting COVID-19? Is it easier for pregnant women to become ill with the disease? If they become infected, will they be more sick than other people?","We do not currently know if pregnant women have a greater chance of getting sick from COVID-19 than the general public nor whether they are more likely to have serious illness as a result. Pregnant women experience changes in their bodies that may increase their risk of some infections. With viruses from the same family as COVID-19, and other viral respiratory infections, such as influenza, women have had a higher risk of developing severe illness. It is always important for pregnant women to protect themselves from illnesses.","<p>We do not currently know if pregnant women have a greater chance of getting sick from COVID-19 than the general public nor whether they are more likely to have serious illness as a result. Pregnant women experience changes in their bodies that may increase their risk of some infections. With viruses from the same family as COVID-19, and other viral respiratory infections, such as influenza, women have had a higher risk of developing severe illness. It is always important for pregnant women to protect themselves from illnesses.</p>",https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html,Pregnancy & Breastfeeding,Center for Disease Control and Prevention (CDC),Pregnant Women,USA,,,en,3/17/20
how long does coronavirus last in air,"COVID-19 is being spread through respiratory droplets that come from coughing or sneezing. If these droplets from an infected person reach another person through the nose, eyes, or mouth it can transmit the disease. It isn't airborne in the same way measles is, but it does linger in the air for some amount of time. However, we are still not sure how long it is in the air for, when the virus particles will rest on the ground or surrounding surfaces, and how it helps transmit to other people.",,,,,,,,,,
will coronavirus be gone by summer,"We do not know. Some viruses, like the common cold or flu, spread more during the cold weather months but people still become sick in warmer months with them. There is still a lot to learn about how weather and temperature impact spread of COVID-19.",,,,,,,,,,
what is coronavirus hku1,"A novel, or new, coronavirus is one that has not been identified before. COVID19 is an example of a novel coronavirus as it has not been seen before.   [[Would you like more information on COVID19?]] COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).",,,,,,,,,,
How many cases are in spain ?,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
can coronavirus spread through food delivery,"Right now, our current understanding of how COVID-19 spreads is person-to-person through respiratory droplets. We have not seen anything related to spread through food. For the surfaces of frozen foods and other food product packaging - because of the poor survivalbility of the coronaviruses on these surfaces, it is a very low risk of spread. However, it is important to make sure you wash your hands with soap and water for at least 20 seconds to practice general food safety. Please also continue to wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.",,,,,,,,,,
coronavirus spread through food,"Right now, our current understanding of how COVID-19 spreads is person-to-person through respiratory droplets. We have not seen anything related to spread through food. For the surfaces of frozen foods and other food product packaging - because of the poor survivalbility of the coronaviruses on these surfaces, it is a very low risk of spread. However, it is important to make sure you wash your hands with soap and water for at least 20 seconds to practice general food safety. Please also continue to wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.",,,,,,,,,,
how coronavirus disease spread,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
How can I protect myself and others?,"The best way to prevent illness from COVID-19 is to avoid being exposed to the virus and use good hand hygiene. Common sense precautions that prevent the spread of flu will also help prevent the spread of COVID-19. Please do the following: Stay home if you are sick. Avoid close contact with people who are sick. Cover cough and sneeze. Avoid touching your eyes, nose, and mouth. Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom, before eating and after blowing your nose, coughing or sneezing. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty. The Centers for Disease Control and Prevention (CDC) does not recommend that people who are well to wear a facemask to protect themselves from respiratory diseases, including COVID-19. Facemasks should only be worn by persons who are sick or persons caring for them. Clean and disinfect frequently touched objects and hard surfaces using a regular household cleaning spray or wipe.",,,,,,,,,,
Can COVID-19 be passed from a pregnant woman to the fetus or newborn?,"We still do not know if a pregnant woman with COVID-19 can pass the virus that causes COVID-19 to her fetus or baby during pregnancy or delivery. No infants born to mothers with COVID-19 have tested positive for the COVID-19 virus. In these cases, which are a small number, the virus was not found in samples of amniotic fluid or breastmilk.. ","<p>We still do not know if a pregnant woman with COVID-19 can pass the virus that causes COVID-19 to her fetus or baby during pregnancy or delivery. No infants born to mothers with COVID-19 have tested positive for the COVID-19 virus. In these cases, which are a small number, the virus was not found in samples of amniotic fluid or breastmilk.</p>",https://www.cdc.gov/coronavirus/2019-ncov/prepare/pregnancy-breastfeeding.html,Pregnancy & Breastfeeding,Center for Disease Control and Prevention (CDC),During Pregnancy or Delivery,USA,,,en,3/17/20
what is coronavirus in human,"A novel, or new, coronavirus is one that has not been identified before. COVID19 is an example of a novel coronavirus as it has not been seen before.   [[Would you like more information on COVID19?]] COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).",,,,,,,,,,
what is coronavirus for kids,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",,,,,,,,,,
how long does coronavirus stay on mail,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
How long does the sras-cov2 live on surface?,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
how long does coronavirus survive in surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
how coronavirus spread in humans,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
symptoms of coronavirus health canada,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
How many covid cases are in Quebec?,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,,,,,,,,,,
symptoms of coronavirus disease,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
why is the coronavirus named that,"COVID comes from corona (CO), virus (VI), and disease (D). 19 because it was identified in the year 2019.",,,,,,,,,,
coronavirus in animals,"There is currently no evidence to suggest that this virus is circulating in animals in Canada.  It is possible that some types of animals can be infected with COVID-19 but there is no evidence that pets or other animals can spread the virus. There are still many unknowns about COVID-19 and this is an area that remains to be studied and understood.  Until we know more, if you have been diagnosed with COVID-19 and have a pet or other animal: avoid close contact with them, do not snuggle or kiss them, or let them lick you, sit on your lap, or sleep in your bed, practice good cough etiquette, avoid coughing and sneezing on your animals, have another member of your household care for your animals (if this is not possible, always wash your hands before touching or feeding them), and limit your animal's contact with other people and animals (this may mean keeping them indoors)  To date, there have not been any reports of livestock being infected by COVID-19 anywhere. However, livestock producers should follow normal biosecurity measures as always. This includes limiting visitors or workers who may have travelled to, or been in contact with, someone from an affected area.",,,,,,,,,,
coronavirus in pregnant woman,"Throughout pregnancy, women experience changes in their bodies that may increase the risk of some illnesses, including viral respiratory infections, such as the flu. At this time, there is insufficient evidence to suggest that pregnant women are at a greater risk for more serious outcomes related to COVID-19.  It is always important for pregnant women to protect themselves from illnesses and take the appropriate steps to avoid and prevent infection. Proper hygiene can help reduce the risk of getting an infection or spreading infection to others.  If you are pregnant and concerned about COVID-19, speak to your health care provider.",,,,,,,,,,
How can I get a covid 19 test,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
Where to go to get tested,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
how long does coronavirus last on surfaces,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
What environmental cleaning procedures should my school take to keep staff and students healthy?,"Perform routine environmental cleaning. Routinely clean frequently touched surfaces (e.g., doorknobs, light switches, countertops) with cleaners that you typically use. Use all cleaning products according to the directions on the label. Provide disposable wipes so that commonly used surfaces (e.g., keyboards, desks, remote controls) can be wiped down by students and staff before each use.","<p>Perform routine environmental cleaning. Routinely clean frequently touched surfaces (e.g., doorknobs, light switches, countertops) with cleaners that you typically use. Use all cleaning products according to the directions on the label. Provide disposable wipes so that commonly used surfaces (e.g., keyboards, desks, remote controls) can be wiped down by students and staff before each use.</p>",https://www.cdc.gov/coronavirus/2019-ncov/community/schools-childcare/schools-faq.html,K-12 Schools and Childcare Programs,Center for Disease Control and Prevention (CDC),Planning and Preparedness,USA,,,en,3/17/20
will coronavirus go away with warm weather,"We do not know. Some viruses, like the common cold or flu, spread more during the cold weather months but people still become sick in warmer months with them. There is still a lot to learn about how weather and temperature impact spread of COVID-19.",,,,,,,,,,
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.. . SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003.","<p>No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different. </p><p>SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003.</p>",https://www.who.int/news-room/q-a-detail/q-a-coronaviruses,Q&A on coronaviruses (COVID-19),World Health Organization (WHO),,,,,en,3/17/20
symptoms of coronavirus by percentage,"The most common symptoms are fever, tiredness and dry cough. Some people exprience nasal congestion, aches and pains, runny nose, sore throat, and diarrhea. Most symptoms usually begin mild and slowly. Some people don't even show symptoms despite being infected with COVID19, and generally continue to feel well.",,,,,,,,,,
coronavirus is it safe to order food,"Right now, our current understanding of how COVID-19 spreads is person-to-person through respiratory droplets. We have not seen anything related to spread through food. For the surfaces of frozen foods and other food product packaging - because of the poor survivalbility of the coronaviruses on these surfaces, it is a very low risk of spread. However, it is important to make sure you wash your hands with soap and water for at least 20 seconds to practice general food safety. Please also continue to wash your hands after blowing your nose, coughing or sneezing, or going to the bathroom.",,,,,,,,,,
coronavirus is spread by,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",,,,,,,,,,
can the coronavirus travel on packages,"A recent study shows that the virus can live in the air and on surfaces from several hours to several days. On plastic, it can live for up to 72 hours (3 days). On stainless steel, it can live for up to 48 hours (2 days). On cardboard, it can live up to 24 hours (1 day). On copper, it can live up to four hours. It is detectable in the air for up to three hours. However, the amount of virus that remains is quite minimal - so the risk is still relatively low to contract COVID19 from these surfaces.  It is still important to regularly clean and disinfect high-touch surfaces as well as packages and mail that come through. Remember to wash your hands frequently with soap and water or an alcohol based hand sanitizer (60%). ",,,,,,,,,,
Can people who recover from COVID-19 be infected again?,"The immune response to COVID-19 is not yet understood. Patients with MERS-CoV infection are unlikely to be re-infected shortly after they recover, but it is not yet known whether similar immune protection will be observed for patients with COVID-19.","The immune response to COVID-19 is not yet understood. Patients with MERS-CoV infection are unlikely to be re-infected shortly after they recover, but it is not yet known whether similar immune protection will be observed for patients with COVID-19.</p>",https://www.cdc.gov/coronavirus/2019-ncov/hcp/faq.html,Healthcare Professionals: Frequently Asked Questions and Answers,Center for Disease Control and Prevention (CDC),Healthcare Professionals,USA,,,en,3/17/20
coronavirus is a cold,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",,,,,,,,,,
Where is the closest testing facility to me?,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",,,,,,,,,,
where did the coronavirus outbreak start,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",,,,,,,,,,
