question,answer
How were untreated MDA-MB-231 cells labeled?,CellTracker Green CMFDA Dye
What was the goal of the study?,describe GE and RTI outbreaks with infection and all-cause lethality rates according to the individual characteristics of nursing home residents
What was the reported infection rate for influenza?,30.0%
How many times more likely was an infection found in patients over 85 years old?,1.5 to 1.6 times
What can be the main challenges in managing a hospital outbreak of COVID-19?," (1) early identification of outbreak, (2) rapid expansion of patients, (3) high risk of nosocomial transmission, (4) unpredictability of size impacted, and (5) lack of backup resource."
Why early identification of COVID-19 patients can be difficult?,Early identification of 2019-nCoV infection presents a major challenge
What are the steps that a hospital should take after COVID-19 outbreak?,2019-nCoV patients should be admitted
Why exposure risk of COVID-19 is very high for ICU staff and what precautions should be taken?, substantial exposure risk for ICU staff because of the following reasons
Use of SIR/SEIR model in Statistics-Based Predictions of Coronavirus Epidemic Spreading?,"susceptible persons is S, infected (persons who are sick and spread the infection) -I, removed (persons who do not spread the infection anymore, this number is the sum of isolated, recovered and dead people) -R; the infection and immunization rates "
What virus are used by the most successful neuronal circuit tracing methods?,Pseudorabies (PRV) and Rabies viruses (RABV)
In what direction does the Vesicular stomatitis virus spread through the nervous system?,anterograde
What determines the whether the spread of Vesicular stomatitis virus is monosynaptic or polysynaptic?,method of delivery of the G gene
What types of viruses can be used to study the connectivity of neuronal circuitry?,rVSV vectors
What is Carrageenan?,a clinically proven and marketed compound for the treatment of viral upper respiratory tract infections
What is a potential therapeutic benefit of carageenan?,"carrageenan and Zanamivir act synergistically against several influenza A virus strains (H1N1(09)pdm, H3N2, H5N1, H7N7)"
What is the optimal window for initiating treatment with carageenan and Zanamivir?,72 hours post infection
What was the mortality rate of influenza a virus subtype h7n9 (avian or bird flu)?,more than 35%
How many human cases were there of influenza a virus subtype h7n9?,more than 400 human cases
How did most patients contract influenza a virus subtype h7n9?,Most patients with A(H7N9) infections had contact with poultry or visited live animal markets
Can influenza a virus subtype h7n9 be transmit human to human?,some sporadic cases seemed to be a result of human to human transmissions
What kind of disease is caused by influenza?, influenza is an acute respiratory disease
How many severe cases are there for annual influenza epidemics?," Worldwide, annual epidemics result in about three to five million cases of severe illness"
How many deaths occur annually as a result of annual influenza epidemics?,"250,000 to 500,000"
Is coinfection common in influenza infection?,influenza virus infections are often accompanied by other viral pathogens
What percentage of people infected with influenza have a viral coinfection?,"Analysis by qRT-PCR revealed that 54.5-83.3% of influenza A or B positive patients were found to have at least one concomitant respiratory viral infection [9] [10] [11] [12] . The detection frequency with immunofluorescence was found to be even higher (90-100%) [13, 14] . "
What are common concamitant infections during the course of influenza infection?,"human rhinovirus (hRV), respiratory syncytial virus, adenovirus, human coronavirus, human metapneumovirus and parainfluenza virus"
What is the anti-viral mechanism of action for carrageenan?,"The antiviral mechanism of carrageenan is based on the interference with viral attachment; as a consequence, viral entry is inhibited "
What is the hypothetical mechanical benefit for carageenan in preventing and treating upper respiratory infections?,a protective physical barrier in the nasal cavity
What is carageenan?,"a high molecular weight sulfated polymer derived from red seaweed (Rhodophyceae) that has been extensively used in food, cosmetic and pharmaceutical industry and is generally recognized as safe by the FDA "
What is the recovery benefit of carageenan in patients with any respiratory virus?,1.9 day faster recovery from common cold symptoms than placebo treated patients in the intention-to-treat population
What is the anti-influenza benefit of carageenan?,anti-influenza activity was shown by subgroup analysis of 49 influenza infected patients who benefited from a 3.3 days faster recovery from symptoms
What is the association between influenza viral load and carageenan?,a significant reduction of the influenza viral load in nasal fluids and a significant increase in the number of virus free patients within the treatment period of 7 days
Is Oseltamivir effective when taken intranasally?,"In contrast to Oseltamivir, which needs to be activated by metabolic conversion, Zanamivir is directly applied as active drug and can also be administered intranasally"
What is the effect of intranasal Zanamivir on laboratory confirmed infleunza infection?,"challenge trials showed that treatment starting before and up to 36 hours post virus inoculation was associated with prevention of laboratory confirmed influenza and febrile illness as well as a reduction in viral titers, duration of shedding and symptoms"
Do carageenan and Zanamivir delivered intranasally have a benefit when taken for influenza subtype H7N7 infection?,"the combination of two effective, established mono-therapies resulted in a significantly enhanced survival in lethally H7N7 infected mice"
Do carageenan and Zanamivir delivered intranasally have a benefit when taken for influenza subtype H1N1 infection?,carrageenan and Zanamivir starting 72 hpi significantly protects lethally influenza H1N1(09)pdm infected mice
Is there a dose-dependent response to carageenan and Zanamavir intranasal therapy?,"While H1N1(09)pdm was highly sensitive to inhibition by both substances alone, H7N7 required much higher concentrations of carrageenan and Zanamivir, respectively, to achieve similar inhibition efficiencies"
Do carageenan and Zanamavir together have a greater benefit than either in monotherapy?,the H1N1(09)pdm model the combination of carrageenan with 1 mg/kg BW/day Zanamivir showed statistically significant enhanced survival in comparison to placebo treatment even after a treatment start 72 hpi
Did the use of carageenan play a role in pandemic's caused by novel viruses?,A second scope of this combination is the protection against newly emerging pandemic viruses during the time until identification of the virus followed by manufacturing and distribution of vaccines
How was ILI defined?,"as a sudden onset of fever more than 38 degrees Celsius and cough, associated or not with other symptoms such as breathing difficulty, headache, etc. "
What is this assay based on?,on the multiplex ligation-dependent probe amplification (MLPA) technology.
How was random sampling performed?," with Excel 1 using the anonymized surveillance database of the Cire OI. The sampling frame contained identification number of swab assigned by Cire OI, laboratory identification number, sex, age, date of onset of symptoms, date of swab collection and result of influenza RT-PCR."
What used to detect pathogens?," Respifinder 1 Smart 22 kits a multiplex RT-PCR (PathoFinder, Maastricht, The Netherlands) which can detect 22 respiratory pathogens. "
What does the retrospective study use?,nasal swabs collected by sentinel GPs from ILI patients in 2011 and 2012.
How many swabs were randomly selected and analyzed?,250 
How were the swabs analyzed?, by multiplex reverse transcriptase polymerase chain reaction (RT-PCR) including research of 18 viruses and 4 bacteria.
What viruses were detected?,"respiratory viruses in 169/222 (76.1%) samples, mostly rhinovirus (23.4%), influenza A virus (21.2%), influenza B virus (12.6%), coronavirus (4.9%) and Human metapneumovirus (3.6%). "
What co-infections were found?,"Nine swabs (5.3% of positive swabs) revealed co-infections with two viruses identified, among which six concerned co-infections with influenza viruses."
What seasonal differences were found?,"seasonal differences, with circulation of Human Metapneumoviruses, RSV A and B and coronavirus only during summer; whereas parainfluenza viruses were identified only during winter."
What does the study highlight?, a substantial circulation of multiple respiratory pathogens in Réunion Island throughout the year. I
What does the study show?,"that ILI are not only attributable to influenza and underlines the need for biological surveillance. As the use of multiplex RT-PCR showed its efficacy, it is now used routinely in the surveillance of ILI."
Which are identified  as major viruses mostly responsible for ILI and pneumonia in several studies?,"Influenza viruses, Respiratory Syncytial viruses (RSV) and Parainfluenza viruses"
What percentage of these infections are identified?,less than 50%
What is Reunion Island?, a French overseas territory
What is the number of inhabitants of Reunion Island?," 850,000"
Where is Reunion Island located?,n the southern hemisphere between Madagascar and Mauritius in the Indian Ocean (Latitude: 21°05.2920 S Longitude: 55°36.4380 E.)
What is the island's health care system similar  to?," to mainland France and epidemiological surveillance has been developed by the regional office of the French Institute for Public Health Surveillance (Cire OI), based on the surveillance system of mainland France"
When does influenza activity increase?," during austral winter, corresponding to summer in Europe"
When does the  influenza vaccination campaign in Reunion Island start?,April 
What is the  clinical and biological influenza surveillance has been based on?,a sentinel practitioner's network
What is this network composed of?,58 general practitioners (GPs) spread over the island and represented around 7% of all Réunion Island GPs.
How are the influenza tests carried out?, Nasal swabs are randomly collected all along the year and are tested by RT-PCR for influenza viruses
What do 40-50% of the samples test positive for?," for influenza A virus, A(H1N1)pdm09 or B virus"
What are the ILI samples wich test negative for influence?,are of unknown etiology
What tool has been developed to identify several viruses simultaneously?,", multiplex reverse transcriptase polymerase chain reaction (RT-PCR) "
What are the objectives of the study?,"to characterize respiratory pathogens responsible for ILI consultations in sentinel GPs in 2011 and 2012. Secondary objectives were to highlight seasonal trends on respiratory pathogens circulation and to describe occurrence of co-infections, especially during the flu season."
On which system the reverse transcription and preamplification steps were performed?,"on the epgradient Mastercycler 1 (Eppendorf) and the hybridization, ligation and detection steps on the LightCycler 1 480 system (Roche Applied Science)."
Which two seasons were identified for trends in virus circulation??,winter season during weeks 23 to 39 between June and September and summer season during the rest of the year.
Which were the most frequently identified respiratory pathogens?," rhinovirus (23.4%), influenza A not H1N1 (21.2%) and influenza B (12.6%) "
What were detected  only in summer?,"Human Metapneumovirus, RSV A and B, and influenza A(H1N1)pdm09"
What viruses were identified only in winter?,"Parainfluenza 1,2 and 4 viruses"
Respiratory viral pathogens were present in what percentage of samples?,76.1
What did the study highlight?,"several co-infections, showing that concomitant the multiple etiology of ILI"
How many swabs remained without etiology?," 53 swabs, representing 24% of the sample"
What hypotheses can explain this result?," a poor quality of swabs, preventing from identifying a pathogen, noninfectious causes or other pathogens not included in the multiplex PCR."
What could not be tested  for?,"RNAse P, a marker of human cells,"
What does this study highlight?, circulation of multiple pathogens in Réunion Island throughout the year.
What does the  study show?,that ILI is not specific to influenza and so it is essential to have biological results in order to establish the differential diagnosis and thus explain the etiology of symptoms.
What would be interesting to do?,to repeat this study every 3 or 5 years adding clinical data to monitor the evolution of respiratory pathogens in Réunion Island over time.
What  is it most similar to?,"bat beta-coronaviruses, with the highest being >96% identity "
"How many people were affected as of Feb. 10, 2020?","greater than 40,000"
How is the SARS-CoV-2 referred to?, as coronavirus disease discovered in 2019 (COVID-19)
How much  similarity the SARS-COV-2 genome sequence has with SARS-COV?,∼80% identity with SARS-CoV
what similarity human SARS-COV and palm civet SARSlike COV share?," 99.8% homology, with a total of 202 single-nucleotide (nt) variations (SNVs) identified across the genome "
How much is the difference between the human SARS-CoV-2 and the bat RaTG13-CoV?,"greater than 1,100 nt "
Why is it highly unlikely that RaTG13 CoV is the immediate source of SARS-CoV-2. ,are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of CoVs
What are the most revealing signs that SARS-CoV-2 evolved by natural evolution. ,The absence of a logical targeted pattern in the new viral sequences and a close relative in a wildlife species (bat
What did the Nature Medicine paper report?,the construction of a chimeric CoV with a bat CoV S gene (SHC014) in the backbone of a SARS CoV that has adapted to infect mice (MA15) and is capable of infecting human cells
Why does the claim lack any scientific  basis?," because of significant divergence in the genetic sequence of this construct with the new SARS-CoV-2 (>5,000 nucleotides)."
How was the mouse-adapted SARS virus (MA15) generated?,by serial passage of an infectious wildtype SARS CoV clone in the respiratory tract of BALB/c mice.
How did  the SARS-CoV gain elevated replication and lung pathogenesis in aged mice ?,due to six coding genetic mutations associated with mouse adaptation. 
Why is it likely that MA15 is highly attenuated to  replicate in human cells?,due to the mouse adaptation.
"Why were civets proposed to be an intermediate host of the bat-CoVs, capable of spreading SARS CoV to humans?","t was proposed that the S gene from bat-derived CoV, unlike that from human patients-or civetsderived viruses, was unable to use human ACE2 as a receptor for entry into human cells "
What was the finding  in 2013?,"several novel bat coronaviruses were isolated from Chinese horseshoe bats and the bat SARS-like or SL-CoV-WIV1 was able to use ACE2 from humans, civets and Chinese horseshoe bats for entry "
 Why is it proposed that some bat SL-CoVs may be able to directly infect human hosts?,Combined with evolutionary evidence that the bat ACE2 gene has been positively selected at the same contact sites as the human ACE2 gene for interacting with SARS CoV [
What was done to test if  an intermediate host may not be necessary and that some bat SL-CoVs may be able to directly infect human hosts. T, the exact S gene from bat coronavirus SL-SHC014 was synthesized and used to generate a chimeric virus in the mouse adapted MA15 SARS-CoV backbone. 
What were the results of this test?,"The resultant SL-SHC014-MA15 virus could indeed efficiently use human ACE2 and replicate in primary human airway cells to similar titres as epidemic strains of SARS-CoV. While SL-SHC014-MA15 can replicate efficiently in young and aged mouse lungs, infection was attenuated, and less virus antigen was present in the airway epithelium as compared to SARS MA15, which causes lethal outcomes in aged mice"
Why were experiments with SL-SHC014-MA15 chimeric virus were later restricted?,as gain of function (GOF) studies under the US government-mandated pause policy 
Why is there  no credible evidence to support the claim that the SARS-CoV-2 is derived from the chimeric SL-SHC014-MA15 virus?,"upon careful phylogenetic analyses by multiple international groups [5, 14] , the SARS-CoV-2 is undoubtedly distinct from SL-SHC014-MA15, with >6,000 nucleotide differences across the whole genome."
"What did the rumour that the virus was made by humans in the lab, claim?",that SARS-CoV-2 has HIV sequence in it and was thus likely generated in the laboratory. I
What was reported in  a rebuttal paper led by an HIV-1 virologist Dr. Feng Gao?, they used careful bioinformatics analyses to demonstrate that the original claim of multiple HIV insertions into the SARS-CoV-2 is not HIV-1 specific but random 
What happened to the report with initial claims?," Because of the many concerns raised by the international community, the authors who made the initial claim have already withdrawn this report."
What is the difference between evolution and synthetic constructs?,"Evolution is stepwise and accrues mutations gradually over time, whereas synthetic constructs would typically use a known backbone and introduce logical or targeted changes instead of the randomly occurring mutations that are present in naturally isolated viruses such as bat CoV RaTG13."
What is the conclusion of this report?, there is currently no credible evidence to support the claim that SARS-CoV-2 originated from a laboratory-engineered CoV. It is more likely that SARS-CoV-2 is a recombinant CoV generated in nature between a bat CoV and another coronavirus in an intermediate animal host. 
What is the conclusion of this report?,"More studies are needed to explore this possibility and resolve the natural origin of SARS-CoV-2. We should emphasize that, although SARS-CoV-2 shows no evidence of laboratory origin, viruses with such great public health threats must be handled properly in the laboratory and also properly regulated by the scientific community and governments."
what is the clinical manifestation similar to?,to that of the severe acute respiratory syndrome (SARS) caused by SARS-CoV. 
What was the purpose of the research?,to evaluate the effectiveness of zinc supplementation on diarrhea and average daily weight gain (ADG) in pre-weaned dairy calves
What preventative measure has been taken to decrease the incidence of diarrhea in children?,Zinc supplementation
What  led to a great increase in their study among virologists worldwide?,an outbreak in 1993–94 in the southwestern United States
How many hantaviral genotypes have been described,Well over 40
How many of them are pathogenic for humans?,nearly half of them
What do Hantaviruses cause in their reservoir hosts?,persistent infections
What does hantavirus human disease  manifest as?," a cardiopulmonary compromise, hantavirus cardiopulmonary syndrome (HCPS)"
"What is the  case-fatality ratios, for the most common viral serotypes? ",between 30% and 40%
 What are among the factors that may have increased the human caseload of HCPS between 1993 and the present?," Habitat disturbance and larger-scale ecological disturbances, perhaps including climate change,"
What do authors consider  in this study?, the features that influence the structure of host population dynamics that may lead to viral outbreaks
What do authors consider  in this study?,the macromolecular determinants of hantaviruses that have been regarded as having potential contribution to pathogenicity.
Which diseases are a major concern among scientists studying infectious diseases?, emerging zoonotic diseases
What may alter population disease dynamics and lead to the emergence of zoonotic infections? ,Changes in biotic and abiotic conditions
Which are among the conspicuous examples which challenge prevention and control measures of public health systems?," influenza A, Ebola virus, hepatitis C virus, severe adult respiratory distress (SARS), coronavirus, and human immunodeficiency virus"
"More recently,  what did outbreaks of several viral-related diseases that  have emerged or re-emerged, involve?","hantaviruses, and the expansion of the geographic range of West Nile virus."
"What did, In the last century,  outbreaks of viral-related diseases that have emerged or re-emerged, involve?",arenaviruses and dengue viruses
"Among zoonotic diseases, what are hosts of several pathogenic RNA viruses?",small mammals
Which pathogenic RNA viruses are hosted by small mammals?, Arenaviridae and Bunyaviridae: Hantavirus 
When did Hantavirus infections became a concern in the Americas?," disease, hantavirus cardiopulmonary syndrome, HCPS (or hantavirus pulmonary syndrome), was linked to "
" What was the  hantavirus cardiopulmonary syndrome, HCPS (or hantavirus pulmonary syndrome), linked to?",infection by the newly-discovered Sin Nombre virus (SNV)
What was identified as the reservoir of SNV?, the rodent Peromyscus maniculatus (deer mouse)
" What did a review of ancient Chinese writings in 960 AD, reveal?","descriptions closely resembling hemorrhagic fever with renal syndrome (HFRS), the syndrome caused by Old World hantaviruses"
How was HFRS  first brought to the attention of western medicine ?,with an outbreak that occurred among United Nations troops during the Korean conflict between 1951 and 1954
What is HTNV?," etiologic agent, Hantaan virus"
Where was HTNV isolated from?," from the striped field mouse Apodemus agrarius,"
Which new genus was the virus later found to represent?,Hantavirus of the family Bunyaviridae
Which was  the first hantavirus to be isolated?,The categorization of hantaviruses as belonging to the family Bunyaviridae is due in part to
What is the categorization of hantaviruses as belonging to the family Bunyaviridae due in part to?," the consistent presence of three RNA genomes that are circularized in vivo as a result of the presence of terminal complementary nucleotides that help fold the genome into a -hairpin‖ morphology,"
What was the hairpin morphology first described for?,Uukuniemi phlebovirus 
"How is the the precursor form GPC processed, during virus maturation?","a membrane -bound protease into Gn and Gc, a cleavage that occurs"
When does the cleavage appear to be signaled?,after the conserved peptide signal WAASA at the C-terminal of Gn 
Why must the two proteins Gn and Gc be co-expressed?,to allow them stability so that the two can be assembled correctly in the Golg
Which two distinct cellular receptors the glycoproteins are the known or presumed ligands for?," the 3 integrin chain and decay accelerating factor, or DAF"
What is the underlying premise for many of these studies?, blunt any pathological response in the host [
What is the premise for apathogenic forms to  blunt any pathological response in the host?,would tend to induce an earlier innate response that would render it more likely that the virus would be quickly cleared or rendered less competent in its replication
Which proteins and mRNAs prominently induced by hantaviruses include?,hantaviruses have been identified as adversely affecting
 What have hantaviruses been identified as adversely affect?,endothelial migration over substrata 
 What have hantaviruses been identified in potentiating?, VEG-F-induced endothelial permeability
What is N-protein?,a structural component of the viral nucleocapsid
"What does the N-protein, as an RNA-binding protein, do?",engages the hairpin termini of the genomic segments with high affinity
"As an RNA-binding protein that engages the hairpin termini of the genomic segments, what does the N-protein of hantavirus do?", it limits the access of the RNA to host nucleases 
"As an RNA-binding protein that engages the hairpin termini of the genomic segments, what does the N-protein of hantavirus do?", helps to render viral replication a closed process within the cytoplasm
What does the N-protein act as?,a peripheral membrane protein
" What can  some of the other activities of N have, be linked to?", to the interference with an array of the intracellular processes of the normal cell
" What can  some of the other activities of N have, be linked to?", to fundamental requirements of replication
What is  N  also reported to interact with?,"with actin microfilaments, and the SUMO-1 protein"
How do the viral RNAs become concentrated in P bodies during hantavirus infection?, through their interaction with N and DCP1
What have confocal microscopy and biochemical-inhibitor studies shown?, that N tracks along microtubules
What have confocal microscopy and biochemical-inhibitor studies shown on what N tracks?,not with actin filaments 
"What is the ultimate destination for N, for its assembly into viral particles?",the Golgi
How does it traffic?," via the endoplasmic reticulum-Golgi intermediate complex (ERGIC), also known as vesicular-tubular cluster "
What is a dominant negative inhibitor?, dynamitin
What is dynamitin associated with?,dynein-mediated transport
What is dynamitin associated with?, reduced N's accumulation in the Golgi
What does recent data indicate?, that microtubular transport is indeed utilized for the New World hantavirus SNV
Why have Hantavirus diseases of man been suspected of having an immunopathogenic basis?,plasma viral RNA with
What is a critical feature of both?, a transient (~ 1-5 days) capillary leak involving the kidney and retroperitoneal space in HFRS and the lungs in HCPS
What is the character of he resulting leakage?,"is exudative in character, with chemical composition high in protein and resembling plasma."
Which is an especially attractive candidate as an important in vivo receptor for hantaviruses?, β3 integrin
What  is the likely way that hantaviruses arrive at their target tissues?,"through uptake by regional lymph nodes, perhaps with or within an escorting lung histiocyte"
What does the virus seed?,local endothelium
What happens with the viral seeding at the  local endothelium?," the first few infected cells give rise, ultimately, to a primary viremia"
How long does the process of giving rise to primary viremia for hantavirus infections?,appears to take a long time 
What happens by the time that secondary viremia emerges?, the agents of the more severe forms of HFRS and HCPS have begun to achieve sufficient mass
How is the  the expression of proinflammatory cytokines induced?, through PAMP-PRR interactions and other means
" For HCPS, what does that expression favor?",the pulmonary bed and lymphoid organs
" For HCPS, what does that expression spare?","the retroperitoneum and, in general, the kidney"
What happens for HFRS?," For HCPS, that expression favors the pulmonary bed and lymphoid organs, yet, for unknown reasons, spares the retroperitoneum and, in general, the kidney. In HFRS the situation is reversed,"
What is considered to be  a requirement for the development of systemic disease symptoms?,Local elaboration of inflammatory and chemotactic mediators 
What do those abnormalities sometimes culminate in?,shock and death
What leads to death in most fatal cases of HCPS?," not hypoxemia, due to the prominent pulmonary edema"
What leads to death in most fatal cases of HCPS?,intoxication of the heart by as-yet-undefined mediators that leads to the low cardiac output state and the associated shock syndrome 
"What potential mechanism,  could be presumed to underlie the pathogenesis of HCPS?", Innate immune mechanisms.
"What potential mechanism,  could be presumed to underlie the pathogenesis of HCPS?",Direct viral effects
"What potential mechanism,  could be presumed to underlie the pathogenesis of HCPS?",Pathogenic effects caused by the activities of specific viral macromolecules.
What  explanation have some investigators favored   for much of the capillary leak?,"direct viral toxicity, acting through the inhibition of endothelial cell barrier function"
 What animal models exist for both the asymptomatic carriage of PUUV and SNV?,"their native carrier rodents, the bank vole Myodes glareolus and the deer mouse P. maniculatus"
For what can the Syrian hamster model used?,"ANDV or the related Maporal virus from Venezuela, for which an HCPS-mimetic disease is observed"
What does the hamster model for HCPS caused by?,by capillary leak that results in pulmonary edema and the production of a pleural effusion with exudative characteristics
 Typically how long do the hamsters die post-inoculation?,11 and 14-d
"What does the microscopic examination of the lung reveal, as with human HCPS?","abundant fibrin deposition, thickened alveolar septa, and viral antigen expressed abundantly in the microvascular endothelium."
What do ANDV-infected hamsters fitted with physiologic monitoring devices exhibit?,"diminished pulse pressures, tachycardia, and hypotension"
"What do diminished pulse pressures, tachycardia, and hypotension in ANDV infected hamsters appear to closely mimic?",the shock that is believed to be the proximate cause of demise in patients who succumb to HCPS 
"Compared to  humans, what do ANDV infected hamsters exhibit?","exceptionally high titers of live ANDV in their tissues, with much of the viral replication occurring in hepatocytes"
With what have three studies correlated  plasma viral RNA?,"with disease severity for HCPS and HFRS,"
What are examples of delivery vectors for commercial anti-Salmonella vaccines?,"Ty21a for typhoid fever in humans, several Salmonella serovars against salmonellosis in chickens and other animals"
What can be a factor in using common vectors for the delivery of vaccines?,"commonly employed vectors, for example Salmonella and adenovirus, often have pre-existing immune responses in the host and this has the potential to modify the subsequent immune response to a vectored antigen. "
Is a pre-existing immune response to commonly used delivery vector an advantage or a disadvantage?,"for bacterial vectors there can in fact, in some cases, be an enhancement in immunogenicity, typically humoral, while for viral vectors pre-existing immunity is a hindrance for subsequent induction of cell-mediated responses."
What bacterial delivery vectors have been tested in animal hosts?," attenuated bacteria, including Escherichia coli, Vibrio cholerae, lactic acid bacteria (LAB), specifically Lactococcus lactis, Mycobacterium, Listeria, Shigella and Salmonella, have been tested for the targeted delivery of heterologous antigens of bacterial, viral and parasitic origin into a variety of animal hosts"
Which bacteial delivery vectors have gained favor for vaccines?,Bacteria such as E. coli and lactic acid bacteria 
Why are E Coli and lactic acid are safe choices as delivery vectors for vaccines?,E. coli is a commensal and lactic acid bacteria are present in most fermented food items and are therefore naturally present in the host. They are also a much safer option than traditional attenuated vaccines in children and immunecompromised people.
What is Listeria?, Listeria species are Gram-positive intracellular food-borne pathogens
What is the advantage of Listeria as a  delivery vector for vaccines?,"The advantages of Listeria are that it can invade a variety of cells, including antigen presenting cells (APCs). After invading the host cell, Listeria resides inside the phagosome; however, it can escape the phagosome with the help of listeriolysin O (LLO; Hly) and reside in the cytoplasm of the cells, thereby efficiently presenting antigen to both CD8 and CD4 T cells "
What are examples of  viral vectors for delivering vaccines?,"recombinant vaccines are based on both DNA viruses (such as fowlpox virus-based vaccines which target avian influenza virus and fowlpox virus, or vaccinia virusbased vectors against the rabies virus in wildlife) and RNA viruses [such as Newcastle disease virus-based vaccines to be used in poultry or yellow fever virus (YFV)-based vaccines to be used in horses against West Nile virus] "
Which viral vaccine delivery vector was first licensed?,"YFV (YF-17D strain) was the first to be licensed for use in humans, where the cDNAs encoding the envelope proteins of YFV were replaced with the corresponding genes of an attenuated Japanese encephalitis virus strain, SA14-14-2"
What are examples of attenuated poxvirus vaccine delivery vectors?,modified vaccinia virus Ankara (MVA) and New York attenuated vaccinia virus NYVAC strains
What is the connection between chicken and Salmonella?,"Chickens (Gallus gallus) are a natural animal reservoir for Salmonella, which makes them an important source of Salmonella-associated gastroenteritis in humans. "
Why are some poxvirus  ideally suited as vaccine delivery vectors?,They are ideal candidate vectors due to their large DNA-packing capacity and their thermal and genetic stability 
What is the advantage of adenovirus as vaccine delivery vector?,"adenovirus (Ad) vector is another of the most widely evaluated vectors to date to express heterologous antigens, due to ease of production, safety profile, genetic stability, the ease of DNA genome manipulation, and the ability to stimulate both innate and adaptive immune responses and induce both T and B cell responses "
What are important criteria for selecting vaccine delivery vectors?,"a vaccine should be inexpensive, so that it can be administered to a large population at minimal cost"
What are important criteria for selecting vaccine delivery vectors?,"Safety is a major concern, as even a low level of toxicity is unacceptable "
What are important criteria for selecting vaccine delivery vectors?,"long-lasting cellular and (where appropriate) humoral immune responses to the vectored antigen must be induced following administration of these vaccines, preferably with a single dose"
What happens when a recipient of a vaccine has immune response to the delivery vector?,"considering a vector such as Salmonella, if a host has previously been infected there will exist robust B and T memory responses, and as such, when a vaccination is delivered, an anamnestic response to the Salmonella antigens will be induced (while the response to the vectored antigen will be a primary response)"
What is the effect of host immune response to the delivery vector on the efficacy of vaccination?,"for virally vectored antigens, the existence of pre-existing immunity to the vector (particularly neutralizing antibody) will restrict delivery of the virus into cells, thereby effectively reducing the dose of the vectored antigen. Again, this might be expected to result in a reduction in the antigenicity of the vectored antigen."
What is the effect of host immune response to the delivery vector on the efficacy of vaccination?,"theoretically reduce the exposure of the heterologous antigen to the immune system, as the vector is rapidly cleared."
What is an example  of the effect of immunity to the  delivery vector on the efficacy of vaccination?,"mice that had been primed with Salmonella alone, and then boosted with Salmonella expressing tetC, induced much lower anti-tetC responses than mice that had not been primed. This argues strongly that prior immunological immunity to the vector can seriously dampen subsequent antigen-specific humoral responses."
What is the effect of host immune response to viral delivery vectors in the efficacy of vaccination?,"pre-existing immunity is a major obstacle of many viralvectored vaccines, such as Ad serotype 5 or herpes simplex virus type 1 (HSV-1), where the rate of seroprevalence to these viruses is very high [40-45 % and 70 % (or more) of the US population, respectively] "
What is the effect of host immune response to  the viral delivery vector on the efficacy of vaccination?,"Vector-specific antibodies may impede the induction of immune responses to the vaccine-encoded antigens, as they may reduce the dose and time of exposure of the target cells to the vaccinated antigens"
What is the effect of host immune response to the delivery vector on  the efficacy of vaccination?," In a large-scale clinical trial (STEP) of an Ad serotype 5 (AdHu5)-based HIV-1 vaccine, the vaccines showed a lack of efficacy and tended to increase the risk of HIV-1 infection in vaccine recipients who had pre-existing neutralizing antibodies to AdHu5 ("
What are methods to avoid the effect vector immunity on the efficacy of vaccination?," the use of vectors derived from nonhuman sources, using human viruses of rare serotypes (Kahl et al., 2010; Lasaro & Ertl, 2009) , heterologous prime-boost approaches (Liu et al., 2008) , homologous reimmunization (Steffensen et al., 2012) and removing key neutralizing epitopes on the surface of viral capsid proteins (Gabitzsch & Jones, 2011; Roberts et al., 2006) "
What are methods to  avoid the effect of vector immune response on the efficacy of vaccination?,"The inhibitory effect of pre-existing immunity can also be avoided by masking the Ad vector inside dendritic cells (DCs) (Steffensen et al., 2012) . In addition, mucosal vaccination or administration of higher vaccine doses can overcome pre-existing immunity problems (Alexander et al., 2012; Belyakov et al., 1999; Priddy et al., 2008; Xiang et al., 2003) ."
"How does cell-mediated immunity to viral delivery vector, reduce the immune response to vaccine?"," this is because viruses will induce neutralizing antibody on the first dose, and in subsequent doses this antibody will limit the number of transduced cells, therefore limiting the responses. This is particularly a problem with a common viral vector such as Ad, where a large proportion of the population will have immunological memory against common serotypes"
"How can vectors for which host has immunity, be used differently to increase the efficacy of vaccination?"," it will be possible to utilize such vectors only by developing vaccines from alternative serotypes. It may be that a vector such as Pre-existing immunity against vaccine vectors attenuated influenza virus, with the ability to easily develop reassortants, will be useful in this context.In addition, immunological memory in the form of opsonizing antibody certainly plays an important role in the early uptake of Salmonella by macrophages and DC. This may be beneficial, as the live bacterial vector used for delivery purposes harbours mutations in genes encoding proteins responsible for their survival in the animal host. This not only encumbers their ability to cause disease, making them safe live vectors, but also limits the number of replications. The presence of opsonizing antibodies should mean a higher level of bacterial uptake, leading to higher presentation to the immune system and therefore a better immune response."
How does the PED virus transmit between animals?,fecal–oral contact
How can Bacilius subtilis be used as an oral vaccine?,recombinant vaccine carrier
What cells are infected by the PED virus?,intestine epithelial cells
What kind of immune responses are most effective in preventing PED virus?,mucosal
What intestinal factors may reduce the effectiveness of orally-administered immunizations?,"gastric acids, pepsin, and trypsin"
What is Bacillus subtilis?,Gram-positive bacterium
What is the role of dendritic cells in the immune response?,antigen-presenting cells
