group,worker_id,chat_input,chat_response,chat_bot_type
jugglechat,5d91b008f9f7440016406572,how do i stay healthy during covid times,by teaching them to do the same things everyone should do to stay healthy,qa
jugglechat,5bb8e15207378900018eec62,where did covid start,"an animal source, it is only passing person-to-person currently",qa
jugglechat,5fa9b5211233e720a8bf6426,How are coronaviruses transmitted,circulate among animals with some of them also known to infect humans,qa
jugglechat,5b5341ddd8348500012ca10d,How do I avoid catching Covid-19,"The best way to prevent illness from COVID-19 is to avoid being exposed to the virus and use good hand hygiene. Common sense precautions that prevent the spread of flu will also help prevent the spread of COVID-19. Please do the following: Stay home if you are sick. Avoid close contact with people who are sick. Cover cough and sneeze. Avoid touching your eyes, nose, and mouth. Wash your hands often with soap and water for at least 20 seconds, especially after going to the bathroom, before eating and after blowing your nose, coughing or sneezing. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty. The Centers for Disease Control and Prevention (CDC) does not recommend that people who are well to wear a facemask to protect themselves from respiratory diseases, including COVID-19. Facemasks should only be worn by persons who are sick or persons caring for them. Clean and disinfect frequently touched objects and hard surfaces using a regular household cleaning spray or wipe.",faq
jugglechat,5cb9a316531e2200010b7d42,how many people have died from COVID-19,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
jugglechat,5bb8e15207378900018eec62,how many people has the virus affected,"Yes. It is actively spreading person to person. The CDC recommends that those who have COVID-19 are isolated either at a hospital or at home, depending on how sick they are, until they are no longer at risk of infecting others.",faq
jugglechat,5cc645136beb0100161eed52,"Correct, blood can be donated if you are not sick or contagious",as long as you are not sick and contagious. Donated blood is always needed,qa
jugglechat,5bb8e15207378900018eec62,what are symptoms of the virus,"Coronaviruses are a large family of viruses. Some cause illness in people, and others, such as canine and feline coronaviruses, only infect animals. Rarely, animal coronaviruses that infect animals have emerged to infect people and can spread between people. This is suspected to have occurred for the virus that causes COVID-19. Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS) are two other examples of coronaviruses that originated from animals and then spread to people. More information about the source and spread of COVID-19 is available on the Situation Summary: Source and Spread of the Virus.",faq
jugglechat,5f514abc8c2b9c36de8c03b6,What is Long COVID,CDC's website,qa
jugglechat,5b9d73ec6b0f63000148db87,what precautions should i take against covid 19,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",faq
jugglechat,5d38770827fd1a0001f71f81,How should I go about preventing the spread,by teaching them to do the same things everyone should do to stay healthy,qa
jugglechat,5cb9a316531e2200010b7d42,how long does a COVID-19 infection last,we are still not sure how long it is in the air for,qa
jugglechat,5f79e004bedcf209c5be2d82,Ok,"I'm sorry, but I don't seem to have a solid answer for that.. :(",greet
jugglechat,5dfeb647c0b81fb457299d05,Can I have a summary of the lesson,"COVID-19 is caused by the virus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a new virus in humans causing respiratory illness which can be spread from person-to-person. a physical distance of at least 1 meter (3 ft) between persons is suggested by the world health organization (WHO) to avoid infection, although some WHO member states have recommended maintaining greater distances whenever possible.",absum
jugglechat,5bb8e15207378900018eec62,what should you do if you get covid,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5b9d73ec6b0f63000148db87,how long should i isolate for,we are still not sure how long it is in the air for,qa
jugglechat,5d38770827fd1a0001f71f81,What advice do you have for prevention,CDC's website,qa
jugglechat,5d91b008f9f7440016406572,how do i help people during covid times,by providing social support,qa
jugglechat,5fa9b5211233e720a8bf6426,what causes COVID-19,"There are many types of coronaviruses. Some only cause illness in people, and some only infect animals. COVID-19 is likely due to an animal coronavirus being able to infect and spread among people. In the past, there was Middle East Respiratory Syndrom (MERS) and Severe Acute Respiratory (SARS) which are both coronaviruses that came from animals and spread among people.   [[Would you like more information on MERs?]] MERs is Middle East Respiratory Syndrome. It is also caused by coronavirus, similar to COVID-19. This virus was first reported in 2012 in Saudi Arabia. Their symptoms are severe acute respiratory illness which includes fever, cough, and shortness of breath. The virus does not pass easily person-to-person unless there is close contact, which includes providing unprotected care to a patient.  [[Would you like more information?]] SARS is Severe Acute Respiratory Syndrome. It was identified in 2003. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents.",faq
jugglechat,5c2fcd716ea6880001dc8e3d,What if you had a cough from something else before being infected,there is no evidence that face masks will effectively prevent you from being infected with the virus,qa
jugglechat,5f1217f36da6b51388a85d36,How did Covid-19 spread,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.. . WHO is assessing ongoing research on the ways COVID-19 is spread and will continue to share updated findings.    ",faq
jugglechat,5f514abc8c2b9c36de8c03b6,Which country is tackling COVID the best,https://coronavirus.jhu.edu/map.html,qa
jugglechat,5bcf365f937b3c00014396f6,How effective is 1m distancing compared to 2m,one of the most effective ways to reduce the spread of illness during an outbreak,qa
jugglechat,5bfebb346fe16d0001678101,Where did Covid-19 originate,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",faq
jugglechat,5f4c2efda7461b8435ce9fd3,Where was covid-19 1st discovered,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",faq
jugglechat,5cb9a316531e2200010b7d42,is there a vaccination for COVID-19,"Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care.. . Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19.. . The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus).",faq
jugglechat,5b5341ddd8348500012ca10d,How likely am I to catch Covid-19,about 1 in every 5 people who catch it need hospital care,qa
jugglechat,5c2fcd716ea6880001dc8e3d,Is there a special type of face mask that is better to use,a type of personal protective equipment that people can use to protect themselves from airborne particles (like respiratory droplets from COVID19) and from liquid contaminating their face,qa
jugglechat,5b9d73ec6b0f63000148db87,will a vaccine elimnate covid-19,"Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care.. . Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19.. . The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus).",faq
jugglechat,5f514abc8c2b9c36de8c03b6,When will the vaccine be ready,"There are currently no vaccines against human coronaviruses, including the virus that causes COVID-19. This is why it is very important to prevent infection and to contain further spread of the virus.. . The development of vaccines takes time. Several pharmaceutical companies are working on vaccine candidates. It will, however, take months or years before any vaccine can be widely used, as it needs to undergo extensive testing to determine its safety and efficacy. ",faq
jugglechat,5bcf365f937b3c00014396f6,Where do most transmissions take place,This interactive map by the Johns Hopkins University provides updated information by country about the number of confirmed Covid19 cases and deaths: https://coronavirus.jhu.edu/map.html.,faq
jugglechat,5f1217f36da6b51388a85d36,How long should people self-isolate for,14 days,qa
jugglechat,5bfebb346fe16d0001678101,How does Covid-19 spread person-to-person,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5ca8cc500adbf40001d8425a,Can you summarise the lesson,"COVID-19 is caused by the virus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a new virus in humans causing respiratory illness which can be spread from person-to-person. a physical distance of at least 1 meter (3 ft) between persons is suggested by the world health organization (WHO) to avoid infection, although some WHO member states have recommended maintaining greater distances whenever possible.",absum
jugglechat,5f1217f36da6b51388a85d36,When will Covid-19 be over,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5d38770827fd1a0001f71f81,What is the mortality rate,"Call ahead: If you are experiencing symptoms of COVID-19, and may have had contact with a person with COVID-19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care so that appropriate precautions can be taken.",faq
jugglechat,59280d6e0db72d0001af431c,ok,"I'm sorry, but I don't seem to have a solid answer for that.. :(",greet
jugglechat,5b5341ddd8348500012ca10d,Can you catch Covid-19 just by being near someone who has it,"There is information for people who have had close contact with a person confirmed to have, or being evaluated for, COVID-19 available online.",faq
jugglechat,5bfebb346fe16d0001678101,CanI please request for a summary of the lesson,"COVID-19 is caused by the virus severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), a new virus in humans causing respiratory illness which can be spread from person-to-person. a physical distance of at least 1 meter (3 ft) between persons is suggested by the world health organization (WHO) to avoid infection, although some WHO member states have recommended maintaining greater distances whenever possible.",absum
jugglechat,5f4c2efda7461b8435ce9fd3,What are some preventatives to reduce the spread of covid 19 ,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection. ",faq
jugglechat,5c2fcd716ea6880001dc8e3d,Why are some people getting COVID even after using precautions,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5e28a683049d4806e244ca02,Why is it called Covid as well as coronavirus,"Coronavirus are a type of virus - there are many kinds, and some of them can cause disease. Examples of coronaviruses include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrome (MERS-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   COVID19 is a novel coronavirus that has been recently identified.   [[Would you like more information on COVID19?]] [[Would you like to know the symptoms of COVID19?]]    ",faq
jugglechat,5b9d73ec6b0f63000148db87,Am I immune if I already contracted coronavirus,it is not yet known whether similar immune protection will be observed,qa
jugglechat,5ca8cc500adbf40001d8425a,What is IPC,CDC's website,qa
jugglechat,5f96215945124f17374e5cb2,What is the current economic cost of coronavirus,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5f808f066890190db46e5e82,is it likely that I will only have some and not all of the symptoms of Covid-19,it is expected that most pregnant women will likely experience only mild to moderate cold and flu - like symptoms,qa
jugglechat,5fa9b5211233e720a8bf6426,what factors increase the risk of contracting COVID-19,"depends on factors including how well it spreads between people, the severity of the illness it causes, and the medical or other measures we have to control the impact of the virus (for example, vaccine or treatment medications)",qa
jugglechat,5e6b74c327cf78000b2bc167,Is coronavirus spread through droplets,"it does linger in the air for some amount of time. However, we are still not sure how long it is in the air for",qa
jugglechat,5f95953c6235723f9ee7441b,ok,"I'm sorry, but I don't seem to have a solid answer for that.. :(",greet
jugglechat,5bfebb346fe16d0001678101,How far is socia distancing,"Social distancing is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure. This does mean meaking changes to your everyday routine to minimize contacts with others, including:   avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others.",faq
jugglechat,5f4c2efda7461b8435ce9fd3,What are the main symptoms of contracting covid-19,there is no evidence that food items imported into the European Union in accordance with the applicable animal and public health regulations pose a risk for the health of EU citizens in relation to COVID-19. The main mode of transmission is from person to person,qa
jugglechat,5e6a8a9db0939604b239309d,What are the chances of a member of the general public contracting Covid by limiting their social interaction,"Social distancing is one of the most effective ways to reduce the spread of illness during an outbreak, but it is sometimes hard to understand what this means given the vague language. What it means is to stay at home as much as possible, and limit your outside exposure. This does mean meaking changes to your everyday routine to minimize contacts with others, including:   avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others.",faq
jugglechat,5ca8cc500adbf40001d8425a,who is most at risk of getting COVID,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5fa9b5211233e720a8bf6426,what does IPC stand for,"What it means is to stay at home as much as possible, and limit your outside exposure",qa
jugglechat,5e28a683049d4806e244ca02,Does it affect asthmatics worse than non-asthmatics,"Older adults (people over the age of 65), those who live in nursing homes or long term care facilities, people who have underlying medical conditions (e.g. chronic lung disease, asthma, diabetes, sickle cell anemia, weakened immune system, chemotherapy, liver cirrhosis, etc), pregnant people, and incarcerated populations.",faq
jugglechat,5e6b74c327cf78000b2bc167,Where did Covid-19 originate,"It was first found in Wuhan City, Hubei Province, China. The first cases are linked to a live animal market but now COVID-19 is able to spread person-to-person.",faq
jugglechat,5eb07ca9744ab31361898861,Does COVID-19 make you lose your smell and taste,"Most people who get COVID-19 will be able to recover at home. If you're sick, stay at home except when you need to get medical care. If you experience difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, bluish lips or face... get medical attention immediately. Please keep in mind that this is not the full list and if you're experciencing severe symptoms or something you are concerned by, please contact your medical provider.   If possible, use a separate room and bathroom for the sick household member. It will be important to make sure you clean and sanitize your hands and home (including sick room and bathroom) regularly. Provide the sick family member with clean disposable face masks to wear at home so that they are less able to spread COVID-19 to you. Avoid sharing personal items like utensils, foods, and drinks.",faq
jugglechat,59280d6e0db72d0001af431c,How is Covid spread,there is no evidence to support transmission of COVID-19 through imported goods,qa
jugglechat,5e9b60ab511e7a0650994050,are there any vaccines available,"Efforts to develop a vaccine are already underway. As yet, there is no vaccine available, however.. ",faq
jugglechat,5f808f066890190db46e5e82,What do I need to do if I suspect I am infected but have no symptoms,CDC's website about what to do if you get sick,qa
jugglechat,5cbd10b31e31d600180cb542,what is the covid death rate,the quarantine period is 14 days,qa
jugglechat,5f2daf557dbdaa0c5d22f18d,Where can i get tested,call your state or local health department or a medical provider,qa
jugglechat,5e9b60ab511e7a0650994050,how do you catch covid 19,"It is able to spread person-to-person. The spread can also be through respiratory droplets released when you sneeze, cough, or talk. Respiratory droplets may also be passed from person-to-person through commonly used surfaces such as door nobs, elevator buttons and bathroom faucets.  [[Would you like more information?]] Among viruses, some are more contagious than others; for example, measles is so contagious that if one person has it, 9 out of 10 people of ALL ages around them will also become infected if they are not protected. COVID-19 is able to spread easily in the community, which is called ""community spread"".   [[Would you like more information on how you can avoid getting infected with the virus that causes Covid19?]] Socially distancing is a practice that aims to prevent those who are sick from coming into contact with those who are healthy. This is to reduce the opportunity for disease transmission. It means avoiding crowds, mass gatherings, and maintaining at least a 6 foot distance fom others. This means no handshakes, hugs, or high-fives. It is also important to practice frequent hand-washing with soap and water or an alcohol-based (at least 60%) hand sanitizer.",faq
jugglechat,5ca8cc500adbf40001d8425a,What are the symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5e28a683049d4806e244ca02,Does a,"It is important to daily practice actions that will not only reduce your chances of getting sick, but also of those around you. Practice habits to keep you and your family safe.   Please avoid close contact with those who are sick. When you are sick, stay at home - except when getting medical care. Cover your coughs and sneezes with tissues, and throw the tissue away. Wash your hands with soap and water for at least 20 seconds, especially after blowing your nose, coughing, sneezing, using the restroom, and before eating or preparing food. If you don't have soap and water, use an alcohol-based hand sanitizer that has at least 60% alcohol. ALWAYS wash your hands with soap and water if your hands are visibly dirty. Please also clean and disinfect frequently touched surfaces (e.g. tables, countertops, light switches, door knobs, cabinet handles).",faq
jugglechat,5c2fcd716ea6880001dc8e3d,Can we get it again if we had it one time,we are still not sure how long it is in the air for,qa
jugglechat,5e6b74c327cf78000b2bc167,What is IPC,CDC's website,qa
jugglechat,5f808f066890190db46e5e82,how do I know if I have covid-19 but do not have symptoms,There is still a lot to learn about how weather and temperature impact spread,qa
jugglechat,5e6a8a9db0939604b239309d,When should you go to hospital if you are having symptoms of Covid,Stay home and call your health care provider,qa
jugglechat,59280d6e0db72d0001af431c,How do you reduce covid,"COVID-19 is a new coronavirus that we have not seen previously; it is not the same as the flu or common cold. Coronaviruses are types of viruses that cause illnesses. These include the common cold, flu, to more severe diseases like Middle East Respiratory Syndrom (MERs-CoV) and Severe Acute Respiratory Syndrome (SARS-CoV).   [[Would you like to know more about COVID-19 symptoms?]]",faq
jugglechat,5e9b60ab511e7a0650994050,how many people die,"scientists are currently testing it to see if it can be used to treat COVID19. It has shown some promise in a few cases, but needs to be tested among many more people",qa
jugglechat,5eb07ca9744ab31361898861,How did COVID-19 begin,"There are many types of coronaviruses. Some only cause illness in people, and some only infect animals. COVID-19 is likely due to an animal coronavirus being able to infect and spread among people. In the past, there was Middle East Respiratory Syndrom (MERS) and Severe Acute Respiratory (SARS) which are both coronaviruses that came from animals and spread among people.   [[Would you like more information on MERs?]] MERs is Middle East Respiratory Syndrome. It is also caused by coronavirus, similar to COVID-19. This virus was first reported in 2012 in Saudi Arabia. Their symptoms are severe acute respiratory illness which includes fever, cough, and shortness of breath. The virus does not pass easily person-to-person unless there is close contact, which includes providing unprotected care to a patient.  [[Would you like more information?]] SARS is Severe Acute Respiratory Syndrome. It was identified in 2003. It is thought to be an animal virus, though the animal source has not yet been identified. It transmits person-to-person, and has influenza-like symptoms, which include fever, malaise, headaches, diarrhea, and shivering. Currently, SARS-CoV is not being transmitted anywhere in the world. Since the 2003 epidemic, it has appeared four times due to laboratory accidents.",faq
jugglechat,5f4c2efda7461b8435ce9fd3,Who are at most risk when contracting covid-19,"Currently, those at greatest risk of infection are persons who have had prolonged, unprotected close contact with a patient with symptomatic, confirmed COVID-19 and those who live in or have recently been to areas with sustained transmission.",faq
jugglechat,5ca8cc500adbf40001d8425a,What is the treatment,"Treatment of the infection depends on the severity of the disease presentation (e.g administering oxygen, maintaining fluid balance, if necessary administering antibiotics to combat bacterial co-infections) and also includes the treatment of relevant underlying chronic illnesses",qa
jugglechat,5b6c0505b98cef00016f78ba,Hi how long do you the pandemic will go onfor,as long as you are not sick and contagious,qa
jugglechat,5fa9b5211233e720a8bf6426,Who is most at risk of sever COVID-19,where you  are,qa
jugglechat,5e6b74c327cf78000b2bc167,Are young people likely to die of Covid-19,generally mild,qa
jugglechat,5f6a56736ff2f810b5756509,What percent of people have mild symptoms,approximately 80 percent do not exhibit symptoms that would require hospitalization,qa
jugglechat,5e6a8a9db0939604b239309d,How bad should your breathing be to warrant going to hospital,"people wear masks in public and when around people who don't live in your household. Masks should NOT be worn by children under age 2 or anyone who has trouble breathing, is unconscious, incapacitated, or otherwise unable to remove the mask without assistance",qa
jugglechat,5f96215945124f17374e5cb2,What are all known symptoms of coronavirus,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,59280d6e0db72d0001af431c,What are the symptoms,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5f0c40741fa6930438c1f19c,Why has international travel not been banned,"CDC provides recommendations for international travel, including guidance on when to consider postponing or canceling travel. Most of the time, this guidance is provided through travel health notices and is based on the potential health risks associated with traveling to a certain destination.. . Travel health notices are designated as Level 1, 2, or 3, depending on the situation in that destination. (See below for what each level means). A list of destinations with coronavirus disease 2019(COVID-19) travel health notices is available at www.cdc.gov/coronavirus/2019-ncov/travelers/index.html.. . Warning Level 3: CDC recommends travelers avoid all nonessential travel to these destinations.. Alert Level 2: CDC recommends older adults and people of any age with serious chronic medical conditions consider postponing nonessential travel.. Watch Level 1: CDC does not recommend canceling or postponing travel to destinations with, but it is important to take steps to prevent getting and spreading diseases during travel.. CDC also recommends all travelers, defer all cruise travel worldwide. This is particularly important for older adults and people of any age with serious chronic medical conditions.. . If you do travel, take the following steps to help reduce your chances of getting sick:. . Avoid contact with sick people.. Avoid touching your eyes, nose, or mouth with unwashed hands.. Wash your hands often with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol. Soap and water should be used if hands are visibly dirty.. It is especially important to clean hands after going to the bathroom; before eating; and after coughing, sneezing or blowing your nose.. Make sure you are up to date with your routine vaccinations, including measles-mumps-rubella (MMR) vaccine and the seasonal flu vaccine.. . The COVID-19 pandemic is a rapidly evolving situation and CDC guidance is reviewed daily and updated frequently.. . . ",faq
jugglechat,5eedec89a08bcd222d7c447c,what are you looking for from me specifically,"If you have the symptoms of COVID-19 and want to get tested, call your state or local health department or a medical provider. Please note that while test supplies are increasing, it may be difficult to find a place to get tested.   [[Would you like to know the symptoms of COVID19?]] People may experience the following: cough, fever, tiredness, and difficulty breathing. These symptoms may appear 2-14 days after exposure to COVID19. If you develop any emergency warning signs - it is important to get medical attention immediately. These are: having trouble breathing, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face. You also may be at higher risk from COVID19 if you are over the age of 65, live in a nursing home or long-term care facility, or have other high-risk conditions (e.g. chronic lung disease, serious heart conditions, asthma, immunocomprimised, severe obesity, diabetes, etc.) ",faq
jugglechat,5b537201c09af90001f100da,hi what is the most common symptom for covid,"Reported illnesses have ranged from mild symptoms to severe illness and death from confirmed COVID-19 cases. Confirmed means that these people were tested positive for COVID-19. These are the symptoms that can appear 2 to 14 days after exposure: fever, cough, shortness of breath, pneumonia in both lungs. Those who are infected with COVID-19 may also have little to no symptoms.   However, if you're experiencing difficulty breathing or shortness of breath, persistent pain or pressure in the chest, new confusion or inability to arouse, and/or bluish lips or face - please seek medical attention immediately. This is not an all inclusive list - if you are experiencing symptoms that are severe or concerning, talk to your medical provider.",faq
jugglechat,5b6c0505b98cef00016f78ba,Can i have it with no symptoms,"Patient: If a person develops symptoms of COVID-19 including fever, cough or shortness of breath, and has reason to believe they may have been exposed, they should call their health care provider before seeking care. Contacting them in advance will make sure that people can get the care they need without putting others at risk. Please be sure to tell your health care provider about your travel history. You can also take the following precautionary measures: avoid contact with sick individuals, wash hands often with soap and warm water for at least 20 seconds.. Health Care Provider: Patients who may have infection with this novel coronavirus should wear a surgical mask and be placed in an airborne infection isolation room. If an airborne infection isolation room is not available, the patient should be placed in a private room with the door closed. Health care providers should use standard, contact and airborne precautions and use eye protection. Please see ""Update and Interim Guidance on Outbreak of 2019 Novel Coronavirus (2019-nCoV) in Wuhan, China"" for more information about infection control. The Public Health Department will issue All Facility Letters to regulated healthcare facilities within California with updated information and guidance; these can be found on the AFL webpage. ",faq
jugglechat,5e6a8a9db0939604b239309d,Will there be a vaccine for Covid,"Efforts to develop a vaccine are already underway. As yet, there is no vaccine available, however.. ",faq
jugglechat,5e9b60ab511e7a0650994050,who is most at risk,"Older adults (people over the age of 65), those who live in nursing homes or long term care facilities, people who have underlying medical conditions (e.g. chronic lung disease, asthma, diabetes, sickle cell anemia, weakened immune system, chemotherapy, liver cirrhosis, etc), pregnant people, and incarcerated populations.",faq
jugglechat,5e6a8a9db0939604b239309d,Will life ever be normal again,The current travel and safety recommendations can be found on the web page of the Federal Foreign Office (AA).,qa
