group,chat_input,chat_response,chat_bot_type
qa,Whats your name,SARS-CoV-2,qa
qa,how is covid 19 transmitted,contact with respiratory droplets rather than through the air,qa
qa,How is COVID-19 transmitted,contact with respiratory droplets rather than through the air,qa
qa,How long should we wash our hands for,We have not seen anything related to spread through food,qa
qa,How old are you,Children younger than 2 years old,qa
qa,How many people have died in the UK from the virus,"between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected",qa
qa,what does the r rate mean,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others",qa
qa,what temperature does coronavirus survive in,The risk of spread from products shipped over a period of days or weeks at room temperature is very low,qa
qa,What questions,you may have your temperature taken and be asked questions about your travel history and health,qa
qa,what is the percentage of people who suffer recurring symptoms over a long period of time,it is unclear over what period of time this will take place,qa
qa,Do you have kids,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Is there a vaccine for Covid-19,"At this time, there is no vaccine",qa
qa,I am at a high risk being overweight,there is currently no known risk with being in the same room at a funeral or visitation service with the body of someone who has died of COVID-19.,qa
qa,I think so,symptoms tend to develop between 1-14 days since exposure,qa
qa,Do you have feelings,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,who is most at risk of covid 19,children do not appear to be at higher risk for COVID-19 than adults,qa
qa,Where did Covid come from,it is only passing person-to-person currently,qa
qa,How effective are masks at protecting yourself,"only helpful in preventing people who have coronavirus (COVID19) from spreading it to others. If the person is healthy, there is likely no need for them to wear a face mask - as there is little evidence showing that these masks used by healthy people will prevent transmission to public",qa
qa,Do you think there will be a vaccine for Covid-19,"At this time, there is no vaccine for COVID-19",qa
qa,Hi how are you,"as long as you are not sick and contagious. Donated blood is always needed, so if you are well and eligible, please consider donating",qa
qa,can you get covid more than once,quarantine yourself for at least 14 days,qa
qa,What medication should I take,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Who is most at risk,children do not appear to be at higher risk for COVID-19 than adults,qa
qa,What are the symptoms,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,does coronavirus survive hot temperatures,no evidence that COVID-19 can be spread to humans through the use of pools and hot tubs,qa
qa,Is the virus a hoax so the government can gain control,Someone who is actively sick with COVID-19 can spread the illness to others,qa
qa,Is USA making a vaccine,"decision may be based on multiple factors including severity of illness, need for testing, and appropriateness of home for isolation purposes",qa
qa,Where did covid originate,it is only passing person-to-person currently,qa
qa,Is packaging from a supermarket safe,"there is no evidence of food or food packaging being associated with transmission of COVID-19. Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. For that reason, it is critical to wash your hands often, including utensils. Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19",qa
qa,How many people have died from covid-19,"unlike influenza, there is no vaccine and no specific treatment for the disease",qa
qa,Should I wear any particular type of facemask,all recommended PPE,qa
qa,where did covid 19 come from,someone who has been released from quarantine is not at risk of spreading it to others because they did not develop COVID-19 during that period,qa
qa,What is the rate of infection in the UK,1 in every 1 000 people who are infected,qa
qa,How long does the virus typically last,it is not possible to predict how long the outbreak will last,qa
qa,Not what i asked,We have guidance available for people who have or think they may have COVID-19,qa
qa,How is Covid spread,there is no evidence to support transmission of COVID-19 through imported goods,qa
qa,How many cases have there been worldwide,"We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,What distance should people stand apart to minimize COVID-19 transmission,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others",qa
qa,Why do they tell you to wear masks when masks aren't proven to work,if a healthcare professional recommends it,qa
qa,How serious is it,about 1 in every 5 people who catch it need hospital care,qa
qa,what were all of the symptoms,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Can young people get severe symptoms even if they don't have any underlying conditions,Stay home and call your health care provider,qa
qa,How many people will get covid,We cannot anticipate the impact this will have on Germany.,qa
qa,What are the main symptoms of Covid-19,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,when does the current lock down end in the UK,"unlike influenza, there is no vaccine and no specific treatment for the disease",qa
qa,how can the spread of the disease be prevented,respiratory droplets that come from coughing or sneezing,qa
qa,Where did it originate,it is only passing person-to-person currently,qa
qa,How many people will need intensive care,about 1 in every 5 people who catch it need hospital care,qa
qa,I'm not sure if I have Covid-19,Smoking. Wearing multiple masks. Taking antibiotics,qa
qa,What are the symptoms for Covid,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,What country has been effected the most by COVID,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,Why has toilet paper become so popular,"Unlike SARS, in COVID19 patients become highly infectious before they become seriously ill, explaining at least in part why Covid-19 acts like a super-SARS.",qa
qa,Why is it tjay covid does not affect children so much,COVID-19 does not affect children nearly as much as it affects adults,qa
qa,what are the symptoms,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,If my wife is diagnosed with Covid 19... should I self isolate for 7 days,self-monitor if you have no symptoms and may have been exposed to COVID-19 in the last 14 days or are in close contact with older adults or people who are medically vulnerable or have been asked to do so by your Public Health Authority.,qa
qa,What are the symptoms of COVID-19,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,How many people have died from the virus around the world,"unlike influenza, there is no vaccine and no specific treatment for the disease",qa
qa,Is there a cure,there is no evidence that current medicine can prevent or cure the disease,qa
qa,What are the main ways of transmission between people,Droplet infection is the main mode of transmission,qa
qa,Why did you only think about Germany,"In 2003, Germany recorded a small number of SARS cases",qa
qa,How many people were infected by COVID-19,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveller",qa
qa,Is social distancing effective,"Non-essential gatherings must be limited to no more than 250 people, while smaller events can proceed only if the organizers can implement social distancing of 6 feet per person",qa
qa,I'd like to know more about Covid,a new coronavirus that we have not seen previously,qa
qa,what to do if you were potentially exposed to someone,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,Specically can you get covid more than once,quarantine yourself for at least 14 days,qa
qa,Yes this is correct,as long as you are not sick and contagious,qa
qa,What is the incubation period for Covid,not yet known,qa
qa,What does a 'mild' case of COVID-19 mean,"this is a recommended practice and does not mean that if you maintain a six foot difference from everyone, you will not get the virus",qa
qa,Will I get a government payment if I have to self isolate,"Self-isolate means: stay home and keep your distance from others do not have visitors, especially older adults, or those with medical conditions who are at a higher risk of developing serious illness Monitor your health for fever, cough or difficulty breathing. Wash your hands often with soap and warm water for 20 seconds, or use an alcohol-based hand sanitizer if soap and water are not available. Cover your mouth and nose with your arm when coughing or sneezing. If you develop a fever, cough or difficulty breathing within 14 days: Continue to isolate yourself from others Immediately call a health care professional or public health authority and: describe your symptoms and travel history follow their instructions carefully",qa
qa,what is the isolation period for someone displaying symptoms of covid-19,14 days,qa
qa,when did covid-19 first appear,"Review, update, and implement school emergency operation plans, particularly for infectious disease outbreaks..",qa
qa,Why is that,"Unlike SARS, in COVID19 patients become highly infectious before they become seriously ill, explaining at least in part why Covid-19 acts like a super-SARS.",qa
qa,when will covid be over,it is unclear over what period of time this will take place,qa
qa,What are the symptoms of Covid-19,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,How much safer are children than adults,"The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. It's not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children",qa
qa,Is there a vaccine being developed for covid,"As yet, there is no vaccine available",qa
qa,how is coivd different from sars,the diseases they cause are quite different,qa
qa,Where did covid come from,it is only passing person-to-person currently,qa
qa,What is IPC,guidance available for people who have or think they may have COVID-19,qa
qa,How long is the intubation period,it is not possible to predict how long the outbreak will last,qa
qa,What is the guidance for getting covid twice,"Most of the time, this guidance is provided through travel health notices and is based on the potential health risks associated with traveling to a certain destination",qa
qa,How long should you stay at home if you have the coronavirus,"stock up on supplies; take everyday precautions to keep space between yourself and others; when you go out in public, keep away from others who are sick; limit close contact and wash your hands often; and avoid crowds, cruise travel, and non-essential travel. If there is an outbreak in your community, stay home as much as possible. Watch for symptoms and emergency signs. Watch for symptoms and emergency signs. If you get sick, stay home and call your doctor",qa
qa,This did not answer my question. Can you please reply with relevant answers,Smoking. Wearing multiple masks. Taking antibiotics,qa
qa,did i get covid>,it is only passing person-to-person currently,qa
qa,What age range does COVID affect the most,Most estimates of the incubation period for COVID-19 range from 1-14 days,qa
qa,How are you,as long as you are not sick and contagious,qa
qa,Is there any treatment for COVID-19,no available data from observational studies or randomized controlled trials in humans to support recommending any investigational therapeutics for patients with confirmed or suspected COVID-19 at this time,qa
qa,how deadly is covid-19,SARS was more deadly but much less infectious than COVID-19,qa
qa,What kind of disease is Covid,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease,qa
qa,how many people have died,"We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,how dangerous is covid,there is little evidence showing that these masks used by healthy people will prevent transmission to the public,qa
qa,What precautions can I take other than washing my hands more,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,How long is the incubation period,14 days,qa
qa,How many people have recovered,"We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,when was COVID-19 first identified,Wuhan China,qa
qa,What is IPC,guidance available for people who have or think they may have COVID-19,qa
qa,Is a vaccine available,"As yet, there is no vaccine available",qa
qa,What do you do if you get covid-19,website about what to do if you get sick.,qa
qa,How long are you contagious for,as long as you are not sick and contagious,qa
qa,What does proper coughing and sneezing mean,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others",qa
qa,Chat a bit ropey,your health care provider may recommend you wear a mask if you are experiencing symptoms of COVID-19 while you are seeking or waiting for care,qa
qa,This answer did not make much sense and was the same as the last answer.,the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air,qa
qa,when will a vaccination be in place,When You're Home,qa
qa,Why are some people asymptomatic,"It has shown some promise in a few cases, but needs to be tested among many more people",qa
qa,Who is most at risk of COVID-19,children do not appear to be at higher risk for COVID-19 than adults,qa
qa,how many people have been infected worldwide with covid 19,"The risk of being infected on an airplane cannot be excluded, but is currently considered to be low for an individual traveller",qa
qa,can i safely go to restaurants,keep up with local news media sources,qa
qa,What are some common symptoms of COVID-19,"fever, tiredness and dry cough",qa
qa,Is COVID-19 similar to SARS and MERS,"SARS-CoV-2 RNA may be detectable in the upper or lower respiratory tract for weeks after illness onset, similar to infection with MERS-CoV and SARS-CoV.",qa
qa,How has this impacted the UK,"Local health officials' recommendations for the scope (e.g., a single school, a full district) and duration of school dismissals will be made on a case-by-case basis based on the most up-to-date information about COVID-19 and the specific cases in the impacted community",qa
qa,What are Covid symptoms,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Where and when was Covid first found,"Wuhan City, Hubei Province, China",qa
qa,is a runny nose a symptom of covid,"fever, runny nose, and cough. Vomiting and diarrhea have also been reported",qa
qa,What does ICP mean,"it means is to stay at home as much as possible, and limit your outside exposure",qa
qa,How long until a vaccine will become available,it is not possible to predict how long the outbreak will last,qa
qa,Where did the virus originate from,it is only passing person-to-person currently,qa
qa,Covid-19 can be spread  by anyone with the illness whether they have symptoms or not,Stay home and call your health care provider,qa
qa,are children at risk,It's not known yet whether some children may be at higher risk for severe illness,qa
qa,what is the risk of catching covid outdoors,"For people living in, or visiting, these areas the risk of catching COVID-19 is higher",qa
qa,What happens if I go within 6 feet of someone,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others  For example - if you need to go grocery shopping, limit to once a week. If you go on walks, make sure you maintain a 6 foot distance between yourself and others",qa
qa,What is long covid,What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,is the rate decreasing,the mortality rate for COVID-19 is 20-30 per thousand people diagnosed,qa
qa,can i catch covid again,People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets,qa
qa,How does the virus pass onto another person,"respiratory droplets that come from coughing or sneezing. If these droplets from an infected person reach another person through the nose, eyes, or mouth it can transmit the disease",qa
qa,is there a cure for covid,there is no evidence that current medicine can prevent or cure the disease,qa
qa,What is the current WHO advice,consulting a healthcare provider by telephone for advice,qa
qa,Should weddings go ahead during the pandemic,"gloves, safety glasses, shoes, earplugs or muffs, hard hats, respirators, coveralls, etc.",qa
qa,is there a cure,there is no evidence that current medicine can prevent or cure the disease,qa
qa,can covid be passedon through food,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,Is a vaccine due soon,"As yet, there is no vaccine available",qa
qa,Yes you must self-quarantine as soon as symptoms present.,there is no evidence that current medicine can prevent or cure the disease,qa
qa,What does the WHO say is a safe distance,"avoiding non-essential gatherings avoiding common greetings, such as handshakes avoiding crowded places such as concerts, arenas, conferences and festivals limiting contact with people at higher risk like older adults and those in poor health keeping a distance of at least 2 arms-length (approximately 6 feet) from others",qa
qa,how long can symptoms last,it is not possible to predict how long the outbreak will last,qa
qa,What are ways of preventing Covid transmission,"checking people at the airport (known as entry screening) is not very effective in preventing the spread of the virus, especially when people do not have symptoms.",qa
qa,when will there be a vaccine,"At this time, there is no vaccine for COVID-19",qa
qa,When will it be available,CDC will continue to provide updated information as it becomes available,qa
qa,"I know how Covid-19 is transmitted, but I'm not sure if I have caught it. What are the symptoms","There is not enough epidemiological information at this time to determine how easily and sustainably this virus spreads between people, but it is currently estimated that, on average, one infected person will infect between two and three more. The virus seems to be transmitted mainly via respiratory droplets that people sneeze, cough, or exhale",qa
qa,how long can the droplets stay on surfaces,we are still not sure how long it is in the air for,qa
qa,How long is the incubation period,14 days,qa
qa,will i die if i get covid,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,Why don't children get it so much,the extent to which children play a role in the transmission of the virus is still unknown,qa
qa,"Trail vaccines are being tested currently, but no at the moment nothing can cure covid-19","To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019",qa
qa,Are rate of transmission monitored separately in healthcare settings,See the Interim Infection Prevention and Control Recommendations for Patients with Known or Patients Under Investigation for Coronavirus Disease 2019 (COVID-19) in Healthcare Settings,qa
qa,how severe is covid,"We cannot anticipate the impact this will have on Germany. It could be more severe than a serious wave of influenza; progression could, however, also be much milder. There is no way to predict this",qa
qa,What are the recommendations for travel for family illness,"Avoid contact with sick people.. Avoid touching your eyes, nose, or mouth with unwashed hands.. Wash your hands often with soap and water for at least 20 seconds or using an alcohol-based hand sanitizer that contains at least 60% alcohol. Soap and water should be used if hands are visibly dirty..",qa
qa,If a person catches Covid how long will they have it,we are still not sure how long it is in the air for,qa
qa,How many people have died from Covid so far,most known cases so far have primairly been adults,qa
qa,What are symptoms of Covid19,COVID19 is a novel coronavirus that has been recently identified,qa
qa,Is anyone immune to Covid,it is not yet known whether similar immune protection will be observed for patients with COVID-19,qa
qa,what are the restrictions for dining out,"strict and increasingly more drastic restrictions in international air and other travel, worldwide restrictions on admission, quarantine measures and restrictions on public life in many countries",qa
qa,are children a high risk group,"extracurricular group activities and large events, such as performances, field trips, and sporting events should also be cancelled",qa
qa,what about monitoring healthcare professionals and transmission,Interim Guidance for Healthcare Professionals,qa
qa,what is the best way to tackle covid-19 spread in healthcare settings,there is no evidence to support transmission of COVID-19 associated with food,qa
qa,how can i prevent myself getting covid,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,If you have had covid once can you catch it again,quarantine yourself for at least 14 days,qa
qa,how many cases are there in the uk,"between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected",qa
qa,"can you be in an office, 6 feet apart without a mask",travel restrictions and entry screening only apply to travelers arriving from countries with a level 3 travel health notice,qa
qa,How does someone contract the virus,mainly transmitted through contact with respiratory droplets rather than through the air,qa
qa,how do I avoid getting Covid-19,"regular and thorough hand washing, proper coughing and sneezing as well as keeping your distance from sick persons",qa
qa,have other ground zero's been considered for initial covid spread,we are still not sure how long it is in the air for,qa
qa,What is the best way to prevent the spread of covid,avoid being exposed to the virus and use good hand hygiene,qa
qa,When will the vaccine be available for the public,"As yet, there is no vaccine available",qa
qa,What does IPC mean,"it means is to stay at home as much as possible, and limit your outside exposure",qa
qa,should a person wear gloves when in airports,"Follow the manufacturer's instructions for all cleaning and disinfection products (e.g., concentration, application method and contact time, etc.). Wear disposable nitrile gloves when handling the body bag",qa
qa,how many cases of corona virus are there in the uk,"between 15 000 and 75 000 people die prematurely due to causes associated with seasonal influenza each year in the EU, the UK, Norway, Iceland and Liechtenstein. This is approximately 1 in every 1 000 people who are infected",qa
qa,Hi do face masks prevent transmission,if a healthcare professional recommends it,qa
qa,What are the primary symptoms of Covid,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Do you have to quarantine if you have no symptoms,quarantine yourself so that you don't spread the disease further,qa
qa,what percentage of infected persons are hospitalised with Covid-19,The percentage of asymptomatic cases is unclear,qa
qa,What is the best product for sanitizing your face,"most effective practice when used in combination with frequent hand-washing with soap and water, or with an alcohol-based hand sanitizer",qa
qa,how far can droplets travel and infect people,it is now spreading from person to person (human-to-human transmission). There is not enough epidemiological information at this time to determine how easily and sustainably this virus spreads between people,qa
qa,whe was covid 19 identified,2019,qa
qa,What are the symptoms,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Is a vaccine available,"As yet, there is no vaccine available",qa
qa,the wider population should be preventing the illness by taking drugs even if they are not ill,your health care provider may recommend you wear a mask if you are experiencing symptoms of COVID-19 while you are seeking or waiting for care,qa
qa,Are there any vaccine,"It will, however, take months or years before any vaccine can be widely used",qa
qa,what is the study for,A large study from China suggested that just over 2% of cases were under 18 years of age.,qa
qa,what are the symptoms of corona virus,"virus (VI), and disease",qa
qa,What is IPC,guidance available for people who have or think they may have COVID-19,qa
qa,Where did Covid-19 come from,someone who has been released from quarantine is not at risk of spreading it to others because they did not develop COVID-19 during that period,qa
qa,"people to people, meaning physical or close contact for a period of time",not considered a risk,qa
qa,What is coronavirus,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,what about children,Children can become sick with it,qa
qa,who is most affected by corona virus,COVID-19 outbreak is primarily associated with spread from person to person,qa
qa,babies,it is not clear that these outcomes were related to maternal infection,qa
qa,Incubation period,"Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days",qa
qa,What are some of the symptoms of COVID-19,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,have any child died from it,"talk with your child about what's going on. This is a stressful time for both children and adults, and children definitely will have questions. Talk to them about the outbreak, stay calm, and reassure them that they are safe.",qa
qa,What is tracing,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,is paracetomol an effective medication,there is no evidence that current medicine can prevent or cure the disease,qa
qa,How long yo self isolate,Self-isolate for 14 days,qa
qa,are children susceptible,"Coronaviruses are susceptible to the same disinfection conditions in community and healthcare settings as other viruses, so current disinfection conditions in wastewater treatment facilities are expected to be sufficient",qa
qa,death of children from covid,"Talk with your children about the outbreak, try to stay calm, and reassure them that they are safe.",qa
qa,What is SARS,Severe Acute Respiratory Syndrome Coronavirus 2,qa
qa,What is MERS,"Existing literature regarding SARS-CoV-2 and other coronaviruses (e.g. MERS-CoV, SARS-CoV) suggest that the incubation period may range from 2–14 days",qa
qa,what is the survival rate for an infected middle aged overweight person,"person-to-person spread can happen on a continuum. Some viruses are highly contagious (like measles), while other viruses are less so.. . The virus that causes COVID-19 seems to be spreading easily and sustainably",qa
qa,How is covid-19 transmitted,contact with respiratory droplets rather than through the air,qa
qa,Where did covid-19 originate,it is only passing person-to-person currently,qa
qa,How does covid spread,See previous answer on “How does COVID-19 spread,qa
qa,What are some ways to prevent the spread of COVID-19 infection,"most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing",qa
qa,what are the symptoms of covid,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,Self isolate for how long,Self-isolate for 14 days,qa
qa,What are Covid 19 symptoms,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,What is coronavirus,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019,qa
qa,What are the symtoms,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19 (PDF),qa
qa,How is COVID-19 transmitted,contact with respiratory droplets rather than through the air,qa
qa,how many have died due to covid,about 3 000 died,qa
qa,What is tracing,We have guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,How does it spread,through respiratory droplets that come from coughing or sneezing,qa
qa,What are IPC priorities,guidance available for people who have or think they may have COVID-19:. What to do if you have confirmed or suspected coronavirus disease (COVID-19) (PDF) . What to do if you were potentially exposed to someone with confirmed coronavirus disease (COVID-19) (PDF). What to do if you have symptoms of coronavirus disease 2019 (COVID-19) and have not been around anyone who has been diagnosed with COVID-19,qa
qa,What are the Control and Prevention measures,the following general order by the Federal Police applies:. . Railway companies operating public passenger long-distance and regional trains are required to notify the command and location service of the Federal Police of suspected COVID-19 cases immediately,qa
qa,What is the probability of transmission if someone infected was wearing a mask,there is little evidence showing that these masks used by healthy people will prevent transmission to public,qa
qa,How many patients have a cough with covid,"mild to severe respiratory illness with fever, cough, and difficulty breathing",qa
qa,Where did Covid 19 originate,it is only passing person-to-person currently,qa
qa,"preventative measures have been used to help support the healthcare services, how effective are these at reducing the load","most effective practice when used in combination with frequent hand-washing with soap and water, or with an alcohol-based hand sanitizer",qa
